                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8542,                 3.6539,                 2.0041,                0.25567,                0.17956,                0.13071,                0.04926,                 1.9913,                 3.8777,                 2.3876,             0.00055203,             0.00055203,             0.00055203
                      2,                 1.8982,                 2.9972,                 2.0164,                0.43252,                0.40733,                0.39936,                0.17197,                 1.9345,                 5.0475,                 2.1537,             0.00099804,             0.00099804,             0.00099804
                      3,                 1.9352,                 2.4628,                 1.9945,                0.49686,                0.48286,                 0.4769,                 0.1933,                 2.0381,                 2.5041,                 2.1439,               0.001334,               0.001334,               0.001334
                      4,                 1.9281,                 2.1677,                 1.9621,                0.69051,                0.54293,                 0.5653,                0.26596,                 1.8688,                 2.0216,                 1.9417,              0.0011719,              0.0011719,              0.0011719
                      5,                 1.8332,                  1.843,                 1.9221,                0.65857,                0.44884,                0.53115,                0.22753,                 1.9215,                 2.0348,                 2.0062,              0.0010069,              0.0010069,              0.0010069
                      6,                 1.7769,                 1.6773,                 1.8716,                0.72698,                0.60449,                 0.6341,                0.29974,                 1.7459,                 1.7186,                 1.8782,             0.00084184,             0.00084184,             0.00084184
                      7,                 1.6819,                 1.5188,                 1.8015,                0.72507,                0.66186,                0.67485,                 0.3254,                   1.72,                 1.5697,                 1.8347,              0.0006768,              0.0006768,              0.0006768
                      8,                  1.626,                 1.4205,                 1.7165,                0.80387,                0.65566,                0.70418,                0.36147,                 1.6419,                  1.425,                 1.7439,             0.00051177,             0.00051177,             0.00051177
                      9,                 1.5919,                 1.3276,                 1.7072,                0.78768,                0.66841,                0.72476,                0.35952,                 1.6929,                 1.3813,                 1.7819,             0.00034674,             0.00034674,             0.00034674
                     10,                 1.5332,                  1.204,                 1.6355,                0.81892,                0.71258,                 0.7659,                0.39298,                 1.6108,                 1.2598,                 1.7046,              0.0001817,              0.0001817,              0.0001817
